title,genre
Death Note,Mystery
Death Note,Police
Death Note,Psychological
Death Note,Supernatural
Death Note,Thriller
Death Note,Shounen
Shingeki no Kyojin,Action
Shingeki no Kyojin,Military
Shingeki no Kyojin,Mystery
Shingeki no Kyojin,Super Power
Shingeki no Kyojin,Drama
Shingeki no Kyojin,Fantasy
Shingeki no Kyojin,Shounen
Sword Art Online,Action
Sword Art Online,Game
Sword Art Online,Adventure
Sword Art Online,Romance
Sword Art Online,Fantasy
Fullmetal Alchemist: Brotherhood,Action
Fullmetal Alchemist: Brotherhood,Military
Fullmetal Alchemist: Brotherhood,Adventure
Fullmetal Alchemist: Brotherhood,Comedy
Fullmetal Alchemist: Brotherhood,Drama
Fullmetal Alchemist: Brotherhood,Magic
Fullmetal Alchemist: Brotherhood,Fantasy
Fullmetal Alchemist: Brotherhood,Shounen
One Punch Man,Action
One Punch Man,Sci-Fi
One Punch Man,Comedy
One Punch Man,Parody
One Punch Man,Super Power
One Punch Man,Supernatural
Tokyo Ghoul,Action
Tokyo Ghoul,Mystery
Tokyo Ghoul,Horror
Tokyo Ghoul,Psychological
Tokyo Ghoul,Supernatural
Tokyo Ghoul,Drama
Tokyo Ghoul,Seinen
Boku no Hero Academia,Action
Boku no Hero Academia,Comedy
Boku no Hero Academia,School
Boku no Hero Academia,Shounen
Boku no Hero Academia,Super Power
Steins;Gate,Thriller
Steins;Gate,Sci-Fi
Naruto,Action
Naruto,Adventure
Naruto,Comedy
Naruto,Super Power
Naruto,Martial Arts
Naruto,Shounen
No Game No Life,Game
No Game No Life,Adventure
No Game No Life,Comedy
No Game No Life,Supernatural
No Game No Life,Ecchi
No Game No Life,Fantasy
Kimi no Na wa.,Romance
Kimi no Na wa.,Supernatural
Kimi no Na wa.,School
Kimi no Na wa.,Drama
Angel Beats!,Action
Angel Beats!,Comedy
Angel Beats!,Drama
Angel Beats!,School
Angel Beats!,Supernatural
Code Geass: Hangyaku no Lelouch,Action
Code Geass: Hangyaku no Lelouch,Military
Code Geass: Hangyaku no Lelouch,Sci-Fi
Code Geass: Hangyaku no Lelouch,Super Power
Code Geass: Hangyaku no Lelouch,Drama
Code Geass: Hangyaku no Lelouch,Mecha
Code Geass: Hangyaku no Lelouch,School
Hunter x Hunter (2011),Action
Hunter x Hunter (2011),Adventure
Hunter x Hunter (2011),Fantasy
Hunter x Hunter (2011),Shounen
Hunter x Hunter (2011),Super Power
Mirai Nikki,Action
Mirai Nikki,Mystery
Mirai Nikki,Psychological
Mirai Nikki,Shounen
Mirai Nikki,Supernatural
Mirai Nikki,Thriller
Boku no Hero Academia 2nd Season,Action
Boku no Hero Academia 2nd Season,Comedy
Boku no Hero Academia 2nd Season,Super Power
Boku no Hero Academia 2nd Season,School
Boku no Hero Academia 2nd Season,Shounen
Toradora!,Slice of Life
Toradora!,Comedy
Toradora!,Romance
Toradora!,School
Noragami,Action
Noragami,Adventure
Noragami,Comedy
Noragami,Supernatural
Noragami,Shounen
Naruto: Shippuuden,Action
Naruto: Shippuuden,Adventure
Naruto: Shippuuden,Comedy
Naruto: Shippuuden,Super Power
