title,licensor
Death Note,Viz Media
Shingeki no Kyojin,Funimation
Sword Art Online,Aniplex of America
Fullmetal Alchemist: Brotherhood,Funimation
Fullmetal Alchemist: Brotherhood,Aniplex of America
One Punch Man,Viz Media
Tokyo Ghoul,Funimation
Boku no Hero Academia,Funimation
Steins;Gate,Funimation
Naruto,Viz Media
No Game No Life,Sentai Filmworks
Kimi no Na wa.,Funimation
Kimi no Na wa.,NYAV Post
Angel Beats!,Sentai Filmworks
Code Geass: Hangyaku no Lelouch,Funimation
Code Geass: Hangyaku no Lelouch,Bandai Entertainment
Hunter x Hunter (2011),Viz Media
Mirai Nikki,Funimation
Boku no Hero Academia 2nd Season,Funimation
Toradora!,"NIS America, Inc."
Noragami,Funimation
Naruto: Shippuuden,Viz Media
Re:Zero kara Hajimeru Isekai Seikatsu,Funimation
Shingeki no Kyojin Season 2,Funimation
Sword Art Online II,Aniplex of America
Ao no Exorcist,Aniplex of America
Shigatsu wa Kimi no Uso,Aniplex of America
Akame ga Kill!,Sentai Filmworks
Nanatsu no Taizai,Funimation
Fairy Tail,Funimation
Boku dake ga Inai Machi,Aniplex of America
One Piece,Funimation
One Piece,4Kids Entertainment
Bleach,Viz Media
Koe no Katachi,Eleven Arts
Koe no Katachi,NYAV Post
Kill la Kill,Aniplex of America
Code Geass: Hangyaku no Lelouch R2,Funimation
Code Geass: Hangyaku no Lelouch R2,Bandai Entertainment
Boku no Hero Academia 3rd Season,Funimation
Kono Subarashii Sekai ni Shukufuku wo!,Discotek Media
Kono Subarashii Sekai ni Shukufuku wo!,Crunchyroll
Tengen Toppa Gurren Lagann,ADV Films
Tengen Toppa Gurren Lagann,Bandai Entertainment
Tengen Toppa Gurren Lagann,Aniplex of America
Soul Eater,Funimation
Cowboy Bebop,Funimation
Cowboy Bebop,Bandai Entertainment
Sen to Chihiro no Kamikakushi,Walt Disney Studios
Sen to Chihiro no Kamikakushi,GKIDS
Psycho-Pass,Funimation
Kiseijuu: Sei no Kakuritsu,Sentai Filmworks
Elfen Lied,ADV Films
Another,Sentai Filmworks
Kimetsu no Yaiba,Aniplex of America
Tokyo Ghoul √A,Funimation
Ansatsu Kyoushitsu,Funimation
Mob Psycho 100,Funimation
Mob Psycho 100,Crunchyroll
Death Parade,Funimation
Fullmetal Alchemist,Funimation
Fullmetal Alchemist,Aniplex of America
Shokugeki no Souma,Sentai Filmworks
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"NIS America, Inc."
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Aniplex of America
Highschool of the Dead,Sentai Filmworks
Durarara!!,Aniplex of America
Neon Genesis Evangelion,ADV Films
Neon Genesis Evangelion,Netflix
Clannad,Sentai Filmworks
Fate/Zero,Aniplex of America
Haikyuu!!,Sentai Filmworks
Bakemonogatari,Aniplex of America
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Sentai Filmworks
