title,studio
Plastic Memories,Doga Kobo
Shokugeki no Souma: San no Sara,J.C.Staff
Rakudai Kishi no Cavalry,Silver Link.
Rakudai Kishi no Cavalry,Nexus
Kekkai Sensen,Bones
Mushishi,Artland
Mahoutsukai no Yome,Wit Studio
Accel World,Sunrise
Enen no Shouboutai,David Production
Ookami Kodomo no Ame to Yuki,Studio Chizu
FLCL,Gainax
FLCL,Production I.G
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",A-1 Pictures
Sword Art Online: Alicization,A-1 Pictures
K,GoHands
Trinity Seven,Seven Arcs Pictures
Koutetsujou no Kabaneri,Wit Studio
Danshi Koukousei no Nichijou,Sunrise
Monster,Madhouse
No Game No Life: Zero,Madhouse
Fate/stay night: Unlimited Blade Works 2nd Season,ufotable
Youjo Senki,Nut
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,David Production
D.Gray-man,TMS Entertainment
Vinland Saga,Wit Studio
Great Teacher Onizuka,Studio Pierrot
Ore no Imouto ga Konnani Kawaii Wake ga Nai,AIC Build
InuYasha,Sunrise
Devilman: Crybaby,Science SARU
Akatsuki no Yona,Studio Pierrot
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,David Production
Kuroko no Basket 2nd Season,Production I.G
Nisemonogatari,Shaft
Steins;Gate 0,White Fox
Ao Haru Ride,Production I.G
Free!,Kyoto Animation
Free!,Animation Do
Trigun,Madhouse
Kotonoha no Niwa,CoMix Wave Films
NHK ni Youkoso!,Gonzo
Claymore,Madhouse
Hellsing,Gonzo
Yamada-kun to 7-nin no Majo (TV),LIDENFILMS
High School DxD BorN,TNK
Rosario to Vampire,Gonzo
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,J.C.Staff
Hotarubi no Mori e,Brain&#039;s Base
Hai to Gensou no Grimgar,A-1 Pictures
Akira,Tokyo Movie Shinsha
Lucky☆Star,Kyoto Animation
Baka to Test to Shoukanjuu,Silver Link.
Kore wa Zombie Desu ka?,Studio Deen
Neon Genesis Evangelion: The End of Evangelion,Gainax
Neon Genesis Evangelion: The End of Evangelion,Production I.G
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,A-1 Pictures
Yuri!!! on Ice,MAPPA
Blood Lad,Brain&#039;s Base
Kiznaiver,Trigger
Monster Musume no Iru Nichijou,Lerche
Sakamoto Desu ga?,Studio Deen
