title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Clannad,TV,23,Finished Airing,Fall 2007,Visual novel,24,PG-13 - Teens 13 or older,8.09,556744
Fate/Zero,TV,13,Finished Airing,Fall 2011,Light novel,28,R - 17+ (violence & profanity),8.36,563089
Haikyuu!!,TV,25,Finished Airing,Spring 2014,Manga,24,PG-13 - Teens 13 or older,8.57,587974
Bakemonogatari,TV,15,Finished Airing,Summer 2009,Light novel,24,R - 17+ (violence & profanity),8.36,514781
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,Finished Airing,Spring 2015,Light novel,24,PG-13 - Teens 13 or older,7.67,600552
Hataraku Maou-sama!,TV,13,Finished Airing,Spring 2013,Light novel,24,PG-13 - Teens 13 or older,7.85,597584
Shingeki no Kyojin Season 3,TV,12,Finished Airing,Summer 2018,Manga,23,R - 17+ (violence & profanity),8.53,559483
Noragami Aragoto,TV,13,Finished Airing,Fall 2015,Manga,24,PG-13 - Teens 13 or older,8.24,569570
Overlord,TV,13,Finished Airing,Summer 2015,Light novel,24,R - 17+ (violence & profanity),7.98,551398
Charlotte,TV,13,Finished Airing,Summer 2015,Original,24,PG-13 - Teens 13 or older,7.79,559319
Mahou Shoujo Madoka★Magica,TV,12,Finished Airing,Winter 2011,Original,24,PG-13 - Teens 13 or older,8.39,534419
High School DxD,TV,12,Finished Airing,Winter 2012,Light novel,24,R+ - Mild Nudity,7.41,563472
Guilty Crown,TV,22,Finished Airing,Fall 2011,Original,24,R - 17+ (violence & profanity),7.54,463331
Violet Evergarden,TV,13,Finished Airing,Winter 2018,Light novel,24,PG-13 - Teens 13 or older,8.63,440702
Deadman Wonderland,TV,12,Finished Airing,Spring 2011,Manga,24,R - 17+ (violence & profanity),7.24,501131
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,Finished Airing,Winter 2017,Light novel,23,PG-13 - Teens 13 or older,8.32,567291
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,Finished Airing,Spring 2013,Light novel,24,PG-13 - Teens 13 or older,8.07,513377
Chuunibyou demo Koi ga Shitai!,TV,12,Finished Airing,Fall 2012,Light novel,24,PG-13 - Teens 13 or older,7.78,491078
Yakusoku no Neverland,TV,12,Finished Airing,Winter 2019,Manga,22,R - 17+ (violence & profanity),8.65,514887
One Punch Man 2nd Season,TV,12,Finished Airing,Spring 2019,Web manga,23,R - 17+ (violence & profanity),7.41,419478
Clannad: After Story,TV,24,Finished Airing,Fall 2008,Visual novel,24,PG-13 - Teens 13 or older,8.96,486299
Hyouka,TV,22,Finished Airing,Spring 2012,Novel,25,PG-13 - Teens 13 or older,8.15,379625
Sakura-sou no Pet na Kanojo,TV,24,Finished Airing,Fall 2012,Light novel,23,PG-13 - Teens 13 or older,8.21,470394
JoJo no Kimyou na Bouken (TV),TV,26,Finished Airing,Fall 2012,Manga,24,R - 17+ (violence & profanity),8.12,505186
Darling in the FranXX,TV,24,Finished Airing,Winter 2018,Original,24,PG-13 - Teens 13 or older,7.35,467231
Samurai Champloo,TV,26,Finished Airing,Spring 2004,Original,24,R - 17+ (violence & profanity),8.5,424001
Dragon Ball Z,TV,291,Finished Airing,Spring 1989,Manga,24,PG-13 - Teens 13 or older,8.17,547896
Log Horizon,TV,25,Finished Airing,Fall 2013,Light novel,25,PG-13 - Teens 13 or older,8.01,415571
Kuroshitsuji,TV,24,Finished Airing,Fall 2008,Manga,24,R - 17+ (violence & profanity),7.78,411746
Owari no Seraph,TV,12,Finished Airing,Spring 2015,Manga,23,R - 17+ (violence & profanity),7.5,432231
Mononoke Hime,Movie,1,Finished Airing,,Original,135,PG-13 - Teens 13 or older,8.73,512143
Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,Spring 2019,Manga,23,R - 17+ (violence & profanity),9.07,506559
Kaichou wa Maid-sama!,TV,26,Finished Airing,Spring 2010,Manga,24,PG-13 - Teens 13 or older,8.07,458089
Nisekoi,TV,20,Finished Airing,Winter 2014,Manga,24,PG-13 - Teens 13 or older,7.67,435404
