title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Tari Tari,TV,13,Finished Airing,Summer 2012,Original,24,PG-13 - Teens 13 or older,7.33,48560
Choujigen Game Neptune The Animation,TV,12,Finished Airing,Summer 2013,Game,24,PG-13 - Teens 13 or older,7.01,48393
Pokemon Movie 03: Kesshoutou no Teiou Entei,Movie,1,Finished Airing,,Game,91,PG - Children,7.11,82831
Jigoku Shoujo Futakomori,TV,26,Finished Airing,Fall 2006,Original,25,R - 17+ (violence & profanity),7.95,54253
Little Busters!: Refrain,TV,13,Finished Airing,Fall 2013,Visual novel,24,PG-13 - Teens 13 or older,8.25,61108
Fairy Gone,TV,12,Finished Airing,Spring 2019,Original,23,PG-13 - Teens 13 or older,5.83,29977
Ikkitousen,TV,13,Finished Airing,Summer 2003,Manga,24,R+ - Mild Nudity,6.46,57087
Nanatsu no Taizai OVA,OVA,2,Finished Airing,,Manga,24,PG-13 - Teens 13 or older,7.63,67255
Hoshi no Koe,OVA,1,Finished Airing,,Original,25,PG-13 - Teens 13 or older,7.24,67101
Natsume Yuujinchou Go,TV,11,Finished Airing,Fall 2016,Manga,23,PG-13 - Teens 13 or older,8.59,50302
Mobile Suit Gundam Wing,TV,49,Finished Airing,Spring 1995,Original,24,PG-13 - Teens 13 or older,7.73,70896
Brave 10,TV,12,Finished Airing,Winter 2012,Manga,24,R - 17+ (violence & profanity),6.81,59565
Casshern Sins,TV,24,Finished Airing,Fall 2008,Other,24,R - 17+ (violence & profanity),7.53,43158
Oshiete! Galko-chan,TV,12,Finished Airing,Winter 2016,Digital manga,7,PG-13 - Teens 13 or older,7.13,56072
The iDOLM@STER,TV,25,Finished Airing,Summer 2011,Game,24,PG-13 - Teens 13 or older,7.64,42604
Kingdom,TV,38,Finished Airing,Summer 2012,Manga,25,R - 17+ (violence & profanity),8.06,40751
Fate/Grand Order: First Order,Special,1,Finished Airing,,Game,74,PG-13 - Teens 13 or older,6.8,73331
Joukamachi no Dandelion,TV,12,Finished Airing,Summer 2015,4-koma manga,24,PG-13 - Teens 13 or older,7.23,49749
Hyouka: Motsubeki Mono wa,OVA,1,Finished Airing,,Light novel,25,PG-13 - Teens 13 or older,7.37,76055
Macross F,TV,25,Finished Airing,Spring 2008,Original,24,PG-13 - Teens 13 or older,7.92,57587
Clockwork Planet,TV,12,Finished Airing,Spring 2017,Light novel,24,PG-13 - Teens 13 or older,6.48,45374
DearS,TV,12,Finished Airing,Summer 2004,Manga,23,R+ - Mild Nudity,6.63,67648
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,Movie,1,Finished Airing,,Music,63,PG-13 - Teens 13 or older,7.31,55288
Junketsu no Maria,TV,12,Finished Airing,Winter 2015,Manga,24,R - 17+ (violence & profanity),7.17,53100
Natsume Yuujinchou Roku,TV,11,Finished Airing,Spring 2017,Manga,23,PG-13 - Teens 13 or older,8.66,44306
Un-Go,TV,11,Finished Airing,Fall 2011,Novel,24,R - 17+ (violence & profanity),7.41,48851
Mashiro-iro Symphony: The Color of Lovers,TV,12,Finished Airing,Fall 2011,Visual novel,24,PG-13 - Teens 13 or older,7.13,61803
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,Finished Airing,,Original,112,PG-13 - Teens 13 or older,8.17,63227
Itsudatte Bokura no Koi wa 10 cm Datta.,TV,6,Finished Airing,Fall 2017,Music,23,PG-13 - Teens 13 or older,7.55,49082
Denpa-teki na Kanojo,OVA,2,Finished Airing,,Light novel,42,R - 17+ (violence & profanity),7.59,57809
Selector Infected WIXOSS,TV,12,Finished Airing,Spring 2014,Card game,24,R - 17+ (violence & profanity),7.28,52666
UQ Holder!: Mahou Sensei Negima! 2,TV,12,Finished Airing,Fall 2017,Manga,23,PG-13 - Teens 13 or older,7.03,48139
Princess Tutu,TV,38,Finished Airing,Summer 2002,Original,16,PG-13 - Teens 13 or older,8.15,47264
Nakitai Watashi wa Neko wo Kaburu,ONA,1,Finished Airing,,Original,104,PG-13 - Teens 13 or older,7.43,69160
Heavy Object,TV,24,Finished Airing,Fall 2015,Light novel,23,PG-13 - Teens 13 or older,7.3,46116
Boku no Pico,OVA,1,Finished Airing,,Original,34,Rx - Hentai,4.45,78996
Needless,TV,24,Finished Airing,Summer 2009,Manga,24,R - 17+ (violence & profanity),7.29,51318
Amagami SS+ Plus,TV,13,Finished Airing,Winter 2012,Visual novel,24,PG-13 - Teens 13 or older,7.46,68731
"Ore, Twintail ni Narimasu.",TV,12,Finished Airing,Fall 2014,Light novel,24,PG-13 - Teens 13 or older,6.54,48234
Tenkuu no Escaflowne,TV,26,Finished Airing,Spring 1996,Original,24,PG-13 - Teens 13 or older,7.7,53988
Tsugumomo,TV,12,Finished Airing,Spring 2017,Manga,24,R+ - Mild Nudity,7.08,48269
Killing Bites,TV,12,Finished Airing,Winter 2018,Manga,24,R+ - Mild Nudity,6.66,50902
Aria the Animation,TV,13,Finished Airing,Fall 2005,Manga,24,G - All Ages,7.7,37559
Dantalian no Shoka,TV,12,Finished Airing,Summer 2011,Light novel,25,R - 17+ (violence & profanity),7.27,47728
Tales of Zestiria the Cross 2nd Season,TV,13,Finished Airing,Winter 2017,Game,23,PG-13 - Teens 13 or older,7.37,57136
Inazuma Eleven,TV,127,Finished Airing,Fall 2008,Game,24,G - All Ages,7.58,71446
Space☆Dandy 2nd Season,TV,13,Finished Airing,Summer 2014,Original,24,PG-13 - Teens 13 or older,8.27,63739
Ao no Kanata no Four Rhythm,TV,12,Finished Airing,Winter 2016,Visual novel,24,PG-13 - Teens 13 or older,6.73,50775
Initial D Second Stage,TV,13,Finished Airing,Fall 1999,Manga,23,PG-13 - Teens 13 or older,8.13,76450
Mobile Suit Gundam 00 Second Season,TV,25,Finished Airing,Fall 2008,Original,24,R - 17+ (violence & profanity),8.12,76936
Sabage-bu!,TV,12,Finished Airing,Summer 2014,Manga,23,PG-13 - Teens 13 or older,7.39,44785
Denpa Kyoushi (TV),TV,24,Finished Airing,Spring 2015,Manga,23,PG-13 - Teens 13 or older,6.91,49235
Mahou Shoujo Ikusei Keikaku,TV,12,Finished Airing,Fall 2016,Light novel,24,R - 17+ (violence & profanity),7.01,50406
Ryuuou no Oshigoto!,TV,12,Finished Airing,Winter 2018,Light novel,23,PG-13 - Teens 13 or older,6.94,50987
Digimon Frontier,TV,50,Finished Airing,Spring 2002,Original,23,PG - Children,7.16,74365
Nisekoi OVA,OVA,3,Finished Airing,,Manga,26,PG-13 - Teens 13 or older,7.42,67117
Hataage! Kemono Michi,TV,12,Finished Airing,Fall 2019,Manga,24,PG-13 - Teens 13 or older,6.72,53286
Zombie-Loan,TV,11,Finished Airing,Summer 2007,Manga,23,R - 17+ (violence & profanity),6.91,55480
Boku no Hero Academia: Training of the Dead,OVA,1,Finished Airing,,Manga,25,PG-13 - Teens 13 or older,7.36,60436
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Movie,1,Finished Airing,,Light novel,82,PG-13 - Teens 13 or older,7.45,51525
Higashi no Eden Movie II: Paradise Lost,Movie,1,Finished Airing,,Original,92,PG-13 - Teens 13 or older,7.64,68887
Fullmetal Alchemist: Brotherhood Specials,Special,4,Finished Airing,,Manga,15,PG-13 - Teens 13 or older,8.04,58068
Kuroshitsuji Movie: Book of the Atlantic,Movie,1,Finished Airing,,Manga,100,R - 17+ (violence & profanity),8.29,49817
Seihou Bukyou Outlaw Star,TV,24,Finished Airing,Winter 1998,Manga,25,R+ - Mild Nudity,7.88,51083
Kimi ga Nozomu Eien,TV,14,Finished Airing,Fall 2003,Visual novel,23,R+ - Mild Nudity,7.25,59246
Goblin Slayer: Goblin&#039;s Crown,Movie,1,Finished Airing,,Light novel,85,R - 17+ (violence & profanity),7.18,35845
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,Movie,1,Finished Airing,,Light novel,90,R - 17+ (violence & profanity),7.5,52361
Yumekui Merry,TV,13,Finished Airing,Winter 2011,Manga,24,PG-13 - Teens 13 or older,6.96,54303
Juuou Mujin no Fafnir,TV,12,Finished Airing,Winter 2015,Light novel,24,PG-13 - Teens 13 or older,6.28,55822
Haikyuu!!: Riku vs. Kuu,OVA,2,Finished Airing,,Manga,22,PG-13 - Teens 13 or older,7.8,65491
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,Movie,1,Finished Airing,,Light novel,80,PG-13 - Teens 13 or older,7.63,47833
Kono Oto Tomare!,TV,13,Finished Airing,Spring 2019,Manga,23,PG-13 - Teens 13 or older,7.85,46522
Uchuu Patrol Luluco,TV,13,Finished Airing,Spring 2016,Original,7,PG-13 - Teens 13 or older,7.61,59463
Hanebado!,TV,13,Finished Airing,Summer 2018,Manga,24,PG-13 - Teens 13 or older,6.96,54386
Girls Bravo: First Season,TV,11,Finished Airing,Summer 2004,Manga,23,R+ - Mild Nudity,6.47,59320
Vampire Hunter D (2000),Movie,1,Finished Airing,,Light novel,102,R - 17+ (violence & profanity),7.89,65022
Osake wa Fuufu ni Natte kara,TV,13,Finished Airing,Fall 2017,Web manga,3,PG-13 - Teens 13 or older,6.94,54182
Sennen Joyuu,Movie,1,Finished Airing,,Original,87,PG-13 - Teens 13 or older,8.28,55118
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,Special,1,Finished Airing,,Original,23,R - 17+ (violence & profanity),7.58,69530
Sekaiichi Hatsukoi 2,TV,12,Finished Airing,Fall 2011,Manga,24,PG-13 - Teens 13 or older,8.01,69430
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,1,Finished Airing,,Other,90,PG-13 - Teens 13 or older,6.17,53829
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,OVA,1,Finished Airing,,Light novel,24,PG-13 - Teens 13 or older,7.11,60684
Date A Live II: Kurumi Star Festival,OVA,1,Finished Airing,,Light novel,30,PG-13 - Teens 13 or older,7.93,70909
Fairy Tail Movie 2: Dragon Cry,Movie,1,Finished Airing,,Manga,84,PG-13 - Teens 13 or older,7.54,56607
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Special,1,Finished Airing,,Game,24,R - 17+ (violence & profanity),7.57,70039
"Inari, Konkon, Koi Iroha.",TV,10,Finished Airing,Winter 2014,Manga,24,PG-13 - Teens 13 or older,7.23,49166
Fate/kaleid liner Prisma☆Illya 2wei!,TV,10,Finished Airing,Summer 2014,Manga,23,PG-13 - Teens 13 or older,7.32,62736
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",TV,12,Finished Airing,Summer 2019,Light novel,23,PG-13 - Teens 13 or older,7.05,53145
Jin-Rou,Movie,1,Finished Airing,,Manga,102,R - 17+ (violence & profanity),7.79,54389
Dennou Coil,TV,26,Finished Airing,Spring 2007,Original,25,G - All Ages,8.1,34344
Astarotte no Omocha!,TV,12,Finished Airing,Spring 2011,Manga,23,PG-13 - Teens 13 or older,6.61,56129
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV,12,Finished Airing,Winter 2019,Web manga,23,PG-13 - Teens 13 or older,7.78,52929
WWW.Working!!,TV,13,Finished Airing,Fall 2016,Web manga,23,PG-13 - Teens 13 or older,7.46,56168
Loveless,TV,12,Finished Airing,Spring 2005,Manga,24,PG-13 - Teens 13 or older,6.89,58086
Mahou Sensei Negima!,TV,26,Finished Airing,Winter 2005,Manga,23,PG-13 - Teens 13 or older,6.99,52926
Toaru Kagaku no Railgun T,TV,25,Finished Airing,Winter 2020,Manga,24,R - 17+ (violence & profanity),8.27,29619
Kimi no Iru Machi,TV,12,Finished Airing,Summer 2013,Manga,20,R+ - Mild Nudity,6.98,48518
Dragon Ball Kai (2014),TV,61,Finished Airing,Spring 2014,Manga,23,PG-13 - Teens 13 or older,7.72,63140
Isuca,TV,10,Finished Airing,Winter 2015,Manga,23,R+ - Mild Nudity,6.05,52904
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Movie,1,Finished Airing,,Manga,70,PG-13 - Teens 13 or older,7.36,75010
Sakura Quest,TV,25,Finished Airing,Spring 2017,Original,23,PG-13 - Teens 13 or older,7.42,33010
K-On!: Live House!,Special,1,Finished Airing,,4-koma manga,23,PG-13 - Teens 13 or older,7.84,71601
Ahiru no Sora,TV,50,Finished Airing,Fall 2019,Manga,24,PG-13 - Teens 13 or older,7.4,33480
Princess Connect! Re:Dive,TV,13,Finished Airing,Spring 2020,Game,23,PG-13 - Teens 13 or older,7.08,43046
Baby Steps,TV,25,Finished Airing,Spring 2014,Manga,24,PG-13 - Teens 13 or older,7.87,58305
Sekai Seifuku: Bouryaku no Zvezda,TV,12,Finished Airing,Winter 2014,Original,24,PG-13 - Teens 13 or older,7.09,45284
Shinreigari,TV,22,Finished Airing,Fall 2007,Original,25,PG-13 - Teens 13 or older,7.47,35439
Hyakuren no Haou to Seiyaku no Valkyria,TV,12,Finished Airing,Summer 2018,Light novel,23,PG-13 - Teens 13 or older,5.8,47643
Yozakura Quartet,TV,12,Finished Airing,Fall 2008,Manga,24,PG-13 - Teens 13 or older,6.85,28838
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Movie,1,Finished Airing,,Manga,55,PG-13 - Teens 13 or older,7.3,56645
Yuuki Yuuna wa Yuusha de Aru,TV,12,Finished Airing,Fall 2014,Original,24,PG-13 - Teens 13 or older,7.39,42608
Gin no Saji 2nd Season,TV,11,Finished Airing,Winter 2014,Manga,24,PG-13 - Teens 13 or older,8.3,71365
Watashi ni Tenshi ga Maiorita!,TV,12,Finished Airing,Winter 2019,4-koma manga,23,PG-13 - Teens 13 or older,7.39,45555
Garo: Honoo no Kokuin,TV,24,Finished Airing,Fall 2014,Original,24,R - 17+ (violence & profanity),7.42,39824
Berserk 2nd Season,TV,12,Finished Airing,Spring 2017,Manga,24,R - 17+ (violence & profanity),6.75,59870
Okusama ga Seitokaichou!+!,TV,12,Finished Airing,Fall 2016,Manga,8,R+ - Mild Nudity,6.67,60138
ACCA: 13-ku Kansatsu-ka,TV,12,Finished Airing,Winter 2017,Manga,24,PG-13 - Teens 13 or older,7.69,49201
Bounen no Xamdou,ONA,26,Finished Airing,,Original,24,PG-13 - Teens 13 or older,7.69,49823
Senryuu Shoujo,TV,12,Finished Airing,Spring 2019,4-koma manga,12,PG-13 - Teens 13 or older,7.43,47317
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,ONA,3,Finished Airing,,Light novel,24,PG-13 - Teens 13 or older,6.44,74006
Mo Dao Zu Shi,ONA,15,Finished Airing,,Novel,24,R - 17+ (violence & profanity),8.51,33450
Hakata Tonkotsu Ramens,TV,12,Finished Airing,Winter 2018,Novel,23,R - 17+ (violence & profanity),7.43,44264
Higurashi no Naku Koro ni Gou,TV,24,Currently Airing,Fall 2020,Visual novel,23,R - 17+ (violence & profanity),7.41,11765
Bishoujo Senshi Sailor Moon R,TV,43,Finished Airing,Spring 1993,Manga,24,PG-13 - Teens 13 or older,7.69,63498
Sakurada Reset,TV,24,Finished Airing,Spring 2017,Light novel,25,PG-13 - Teens 13 or older,7.38,28167
Nogizaka Haruka no Himitsu,TV,12,Finished Airing,Summer 2008,Light novel,25,PG-13 - Teens 13 or older,7.25,57986
Deadman Wonderland: Akai Knife Tsukai,OVA,1,Finished Airing,,Manga,27,R - 17+ (violence & profanity),7.0,65618
Mayoi Neko Overrun!,TV,13,Finished Airing,Spring 2010,Light novel,24,PG-13 - Teens 13 or older,6.73,49950
Triage X,TV,10,Finished Airing,Spring 2015,Manga,23,R+ - Mild Nudity,6.35,46543
Gintama.: Porori-hen,TV,13,Finished Airing,Fall 2017,Manga,23,PG-13 - Teens 13 or older,8.53,54495
Senjou no Valkyria,TV,26,Finished Airing,Spring 2009,Game,24,PG-13 - Teens 13 or older,7.63,46451
Medaka Box Abnormal,TV,12,Finished Airing,Fall 2012,Manga,24,PG-13 - Teens 13 or older,7.47,57891
Bungou Stray Dogs: Dead Apple,Movie,1,Finished Airing,,Manga,90,R - 17+ (violence & profanity),7.82,57893
Slayers,TV,26,Finished Airing,Spring 1995,Light novel,22,PG-13 - Teens 13 or older,7.77,50101
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,TV,12,Finished Airing,Winter 2013,Original,24,R - 17+ (violence & profanity),7.55,47653
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Special,1,Finished Airing,,Manga,23,PG-13 - Teens 13 or older,7.8,64971
Lucky☆Star: Original na Visual to Animation,OVA,1,Finished Airing,,4-koma manga,42,PG-13 - Teens 13 or older,7.83,67139
Kore wa Zombie Desu ka? OVA,OVA,2,Finished Airing,,Light novel,24,PG-13 - Teens 13 or older,7.44,62665
Final Fantasy VII: Advent Children Complete,OVA,1,Finished Airing,,Game,126,PG-13 - Teens 13 or older,7.98,70357
Gintama.: Shirogane no Tamashii-hen,TV,12,Finished Airing,Winter 2018,Manga,24,PG-13 - Teens 13 or older,8.8,50968
xxxHOLiC Kei,TV,13,Finished Airing,Spring 2008,Manga,24,PG-13 - Teens 13 or older,8.25,53750
Itsuka Tenma no Kuro Usagi,TV,12,Finished Airing,Summer 2011,Light novel,25,R+ - Mild Nudity,6.63,48921
Samurai Flamenco,TV,22,Finished Airing,Fall 2013,Original,23,R - 17+ (violence & profanity),6.91,39395
Coquelicot-zaka kara,Movie,1,Finished Airing,,Manga,95,G - All Ages,7.88,62369
Sora no Otoshimono: Tokeijikake no Angeloid,Movie,1,Finished Airing,,Manga,96,R - 17+ (violence & profanity),7.64,60083
Arslan Senki (TV): Fuujin Ranbu,TV,8,Finished Airing,Summer 2016,Manga,24,PG-13 - Teens 13 or older,7.54,60241
Shokugeki no Souma: Ni no Sara OVA,OVA,2,Finished Airing,,Manga,25,PG-13 - Teens 13 or older,7.55,53822
Kami nomi zo Shiru Sekai: Tenri-hen,OVA,2,Finished Airing,,Manga,23,PG-13 - Teens 13 or older,7.73,66753
Kamigami no Asobi,TV,12,Finished Airing,Spring 2014,Visual novel,23,PG-13 - Teens 13 or older,7.11,48265
Dragon Ball Z Movie 15: Fukkatsu no &quot;F&quot;,Movie,1,Finished Airing,,Manga,107,PG-13 - Teens 13 or older,7.14,73441
Shinrei Tantei Yakumo,TV,13,Finished Airing,Fall 2010,Light novel,24,PG-13 - Teens 13 or older,7.36,47258
Inu to Hasami wa Tsukaiyou,TV,12,Finished Airing,Summer 2013,Light novel,24,PG-13 - Teens 13 or older,6.59,52635
"Hachi-nan tte, Sore wa Nai deshou!",TV,12,Finished Airing,Spring 2020,Light novel,23,PG-13 - Teens 13 or older,6.18,52828
Kono Sekai no Katasumi ni,Movie,1,Finished Airing,,Manga,156,PG-13 - Teens 13 or older,8.26,43508
Charlotte: Tsuyoimono-tachi,Special,1,Finished Airing,,Original,24,PG-13 - Teens 13 or older,7.49,62063
Juuni Kokuki,TV,45,Finished Airing,Spring 2002,Novel,25,PG-13 - Teens 13 or older,8.07,34630
Tokyo Mew Mew,TV,52,Finished Airing,Spring 2002,Manga,24,PG - Children,6.99,51386
Boku no Hero Academia: Sukue! Kyuujo Kunren!,OVA,1,Finished Airing,,Manga,25,PG-13 - Teens 13 or older,7.36,51827
Murenase! Seton Gakuen,TV,12,Finished Airing,Winter 2020,Manga,23,PG-13 - Teens 13 or older,7.13,51539
Strawberry Panic,TV,26,Finished Airing,Spring 2006,Other,25,PG-13 - Teens 13 or older,7.31,44843
Hitori no Shita: The Outcast,TV,12,Finished Airing,Summer 2016,Web manga,24,R - 17+ (violence & profanity),6.78,35030
Dies Irae,TV,11,Finished Airing,Fall 2017,Visual novel,23,R - 17+ (violence & profanity),5.4,27219
Pokemon Movie 04: Celebi Toki wo Koeta Deai,Movie,1,Finished Airing,,Game,75,PG - Children,6.94,68731
Hunter x Hunter Movie 1: Phantom Rouge,Movie,1,Finished Airing,,Manga,97,PG-13 - Teens 13 or older,7.24,63169
Kyoukai no Kanata Movie 1: I&#039;ll Be Here - Kako-hen,Movie,1,Finished Airing,,Light novel,82,PG-13 - Teens 13 or older,7.73,49223
Bishoujo Senshi Sailor Moon Crystal,ONA,26,Finished Airing,,Manga,24,PG-13 - Teens 13 or older,6.99,40147
Zoku Sayonara Zetsubou Sensei,TV,13,Finished Airing,Winter 2008,Manga,25,R - 17+ (violence & profanity),7.93,49590
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Finished Airing,,Manga,95,R - 17+ (violence & profanity),8.52,61426
Hunter x Hunter: Greed Island,OVA,8,Finished Airing,,Manga,22,PG-13 - Teens 13 or older,8.23,60961
Kaiba,TV,12,Finished Airing,Spring 2008,Original,24,R+ - Mild Nudity,8.17,31700
"High School DxD New: Oppai, Tsutsumimasu!",OVA,1,Finished Airing,,Light novel,24,R+ - Mild Nudity,7.3,58071
Trigun: Badlands Rumble,Movie,1,Finished Airing,,Manga,90,PG-13 - Teens 13 or older,7.98,58557
Sakigake!! Cromartie Koukou,TV,26,Finished Airing,Fall 2003,Manga,12,PG-13 - Teens 13 or older,7.94,41408
Akiba&#039;s Trip The Animation,TV,13,Finished Airing,Winter 2017,Game,23,PG-13 - Teens 13 or older,6.57,41966
Sunabouzu,TV,24,Finished Airing,Fall 2004,Manga,24,R - 17+ (violence & profanity),7.43,41601
Blade &amp; Soul,TV,13,Finished Airing,Spring 2014,Game,24,R - 17+ (violence & profanity),6.1,45672
Seikon no Qwaser II,TV,12,Finished Airing,Spring 2011,Manga,24,R+ - Mild Nudity,6.42,48016
Maken-Ki! Two,TV,10,Finished Airing,Winter 2014,Manga,24,R+ - Mild Nudity,6.21,48944
Initial D Fourth Stage,TV,24,Finished Airing,Spring 2004,Manga,27,PG-13 - Teens 13 or older,8.16,60673
Kamisama Hajimemashita: Kako-hen,OVA,4,Finished Airing,,Manga,30,PG-13 - Teens 13 or older,8.39,49250
Hikaru no Go,TV,75,Finished Airing,Fall 2001,Manga,23,PG-13 - Teens 13 or older,8.12,48233
Dagashi Kashi 2,TV,12,Finished Airing,Winter 2018,Manga,12,PG-13 - Teens 13 or older,6.9,42841
Nodame Cantabile: Finale,TV,11,Finished Airing,Winter 2010,Manga,22,PG-13 - Teens 13 or older,8.28,58440
Tales of the Abyss,TV,26,Finished Airing,Fall 2008,Game,24,PG-13 - Teens 13 or older,7.33,42434
Zetman,TV,13,Finished Airing,Spring 2012,Manga,24,R+ - Mild Nudity,6.91,49628
Akikan!,TV,12,Finished Airing,Winter 2009,Light novel,23,PG-13 - Teens 13 or older,6.2,52268
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Movie,1,Finished Airing,,Original,59,R - 17+ (violence & profanity),7.56,54949
Samurai 7,TV,26,Finished Airing,Summer 2004,Other,26,PG-13 - Teens 13 or older,7.49,51544
Keppeki Danshi! Aoyama-kun,TV,12,Finished Airing,Summer 2017,Manga,23,PG-13 - Teens 13 or older,7.0,44364
Netsuzou TRap,TV,12,Finished Airing,Summer 2017,Manga,9,R+ - Mild Nudity,5.38,42839
Majo no Tabitabi,TV,12,Currently Airing,Fall 2020,Light novel,24,None,7.61,14777
Bishoujo Senshi Sailor Moon S,TV,38,Finished Airing,Spring 1994,Manga,24,PG-13 - Teens 13 or older,7.85,57043
Corpse Party: Missing Footage,OVA,1,Finished Airing,,Visual novel,11,R+ - Mild Nudity,6.1,57244
Baka to Test to Shoukanjuu: Matsuri,OVA,2,Finished Airing,,Light novel,29,PG-13 - Teens 13 or older,7.64,61387
Sin: Nanatsu no Taizai,TV,12,Finished Airing,Spring 2017,Other,23,R+ - Mild Nudity,5.7,29955
Senran Kagura,TV,12,Finished Airing,Winter 2013,Game,24,PG-13 - Teens 13 or older,6.35,30744
Boku no Hero Academia 2nd Season: Hero Note,Special,1,Finished Airing,,Manga,23,PG-13 - Teens 13 or older,7.33,50722
Comic Girls,TV,12,Finished Airing,Spring 2018,4-koma manga,23,PG-13 - Teens 13 or older,7.44,42187
Kuromukuro,TV,26,Finished Airing,Spring 2016,Original,24,R - 17+ (violence & profanity),7.22,42953
Denki-gai no Honya-san,TV,12,Finished Airing,Fall 2014,Manga,23,PG-13 - Teens 13 or older,7.22,42619
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Movie,1,Finished Airing,,Manga,55,PG-13 - Teens 13 or older,7.56,66813
Nagato Yuki-chan no Shoushitsu,TV,16,Finished Airing,Spring 2015,Manga,24,PG-13 - Teens 13 or older,6.73,39414
Green Green,TV,12,Finished Airing,Summer 2003,Visual novel,24,R+ - Mild Nudity,6.23,58861
Kurokami The Animation,TV,23,Finished Airing,Winter 2009,Manga,23,R - 17+ (violence & profanity),7.18,37400
Nodame Cantabile: Paris-hen,TV,11,Finished Airing,Fall 2008,Manga,23,PG-13 - Teens 13 or older,8.18,64139
Hunter x Hunter: Greed Island Final,OVA,14,Finished Airing,,Manga,24,PG-13 - Teens 13 or older,8.3,58053
Ao no Exorcist: Kuro no Iede,Special,1,Finished Airing,,Manga,24,PG-13 - Teens 13 or older,7.32,52865
Coppelion,TV,13,Finished Airing,Fall 2013,Manga,24,PG-13 - Teens 13 or older,6.49,43087
Days (TV),TV,24,Finished Airing,Summer 2016,Manga,24,PG-13 - Teens 13 or older,7.21,46490
Gakkou no Kaidan,TV,19,Finished Airing,Fall 2000,Original,24,PG-13 - Teens 13 or older,7.68,42281
ChäoS;Child,TV,12,Finished Airing,Winter 2017,Visual novel,23,R - 17+ (violence & profanity),6.41,30158
"Ima, Soko ni Iru Boku",TV,13,Finished Airing,Fall 1999,Original,25,R - 17+ (violence & profanity),7.67,31951
Eve no Jikan (Movie),Movie,1,Finished Airing,,Original,106,PG-13 - Teens 13 or older,8.07,48381
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Movie,1,Finished Airing,,Manga,48,PG-13 - Teens 13 or older,7.07,65072
Initial D Third Stage,Movie,1,Finished Airing,,Manga,105,PG-13 - Teens 13 or older,7.9,64604
Walkure Romanze,TV,12,Finished Airing,Fall 2013,Visual novel,23,R+ - Mild Nudity,6.4,40091
Seitokai Yakuindomo OVA,OVA,8,Finished Airing,,4-koma manga,26,R - 17+ (violence & profanity),7.8,52904
Chuunibyou demo Koi ga Shitai! Lite,ONA,6,Finished Airing,,Light novel,6,PG-13 - Teens 13 or older,7.27,56318
Boku wa Tomodachi ga Sukunai Episode 0,OVA,1,Finished Airing,,Light novel,11,PG-13 - Teens 13 or older,6.76,57985
Tsubasa Chronicle 2nd Season,TV,26,Finished Airing,Spring 2006,Manga,25,PG-13 - Teens 13 or older,7.61,51190
Shikabane Hime: Aka,TV,13,Finished Airing,Fall 2008,Manga,24,R - 17+ (violence & profanity),7.26,37837
Konohana Kitan,TV,12,Finished Airing,Fall 2017,Manga,23,PG-13 - Teens 13 or older,7.57,33082
To LOVE-Ru Darkness OVA,OVA,6,Finished Airing,,Manga,25,R+ - Mild Nudity,7.62,54237
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",TV,24,Finished Airing,Spring 2016,Game,24,PG-13 - Teens 13 or older,6.44,34454
GetBackers,TV,49,Finished Airing,Fall 2002,Manga,24,PG-13 - Teens 13 or older,7.62,42669
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,TV,13,Finished Airing,Summer 2019,Light novel,23,R - 17+ (violence & profanity),7.36,36329
Urara Meirochou,TV,12,Finished Airing,Winter 2017,4-koma manga,24,PG-13 - Teens 13 or older,7.14,29877
Druaga no Tou: The Aegis of Uruk,TV,12,Finished Airing,Spring 2008,Game,25,PG-13 - Teens 13 or older,7.2,44115
Bleach: Memories in the Rain,Special,1,Finished Airing,,Manga,29,PG-13 - Teens 13 or older,7.16,57763
