title,producer
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,FuRyu
"Inari, Konkon, Koi Iroha.",DAX Production
"Inari, Konkon, Koi Iroha.",flying DOG
Fate/kaleid liner Prisma☆Illya 2wei!,Lantis
Fate/kaleid liner Prisma☆Illya 2wei!,Kadokawa Shoten
Fate/kaleid liner Prisma☆Illya 2wei!,AT-X
Fate/kaleid liner Prisma☆Illya 2wei!,DAX Production
Fate/kaleid liner Prisma☆Illya 2wei!,KlockWorx
Fate/kaleid liner Prisma☆Illya 2wei!,Tokyo MX
Fate/kaleid liner Prisma☆Illya 2wei!,Kadokawa Media House
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Genco
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Asmik Ace
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Hobby Japan
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",ZERO-A
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",BS11
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Muse Communication
Dennou Coil,Bandai Visual
Dennou Coil,NHK
Dennou Coil,Tokuma Shoten
Astarotte no Omocha!,Kadokawa Shoten
Astarotte no Omocha!,Pony Canyon
Astarotte no Omocha!,DAX Production
Astarotte no Omocha!,KlockWorx
Astarotte no Omocha!,ASCII Media Works
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",AT-X
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",NBCUniversal Entertainment Japan
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",Tokyo MX
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",Avex Pictures
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",Q-Tec
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",BS11
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",ABC Animation
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",GYAO!
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",BookLive
WWW.Working!!,Aniplex
WWW.Working!!,Yomiuri Telecasting
WWW.Working!!,Lawson
Loveless,Bandai Visual
Loveless,TV Asahi
Loveless,Movic
Mahou Sensei Negima!,Starchild Records
Toaru Kagaku no Railgun T,Square Enix
Toaru Kagaku no Railgun T,Movic
Toaru Kagaku no Railgun T,AT-X
Toaru Kagaku no Railgun T,Warner Bros. Japan
Toaru Kagaku no Railgun T,NBCUniversal Entertainment Japan
Toaru Kagaku no Railgun T,Kadokawa
Kimi no Iru Machi,TV Tokyo
Kimi no Iru Machi,ZERO-A
Isuca,Kadokawa Shoten
Isuca,AT-X
Isuca,DAX Production
Isuca,KlockWorx
Isuca,MAGES.
Sakura Quest,AT-X
Sakura Quest,Houbunsha
Sakura Quest,TOHO animation
Sakura Quest,BS11
Sakura Quest,ABC Animation
Sakura Quest,Sony PCL
K-On!: Live House!,Pony Canyon
K-On!: Live House!,Movic
Ahiru no Sora,TV Tokyo
Ahiru no Sora,Kodansha
Ahiru no Sora,AT-X
Ahiru no Sora,King Records
Ahiru no Sora,DMM pictures
Princess Connect! Re:Dive,WOWOW
Princess Connect! Re:Dive,Nippon Columbia
Princess Connect! Re:Dive,Tokyo MX
Princess Connect! Re:Dive,BS11
Princess Connect! Re:Dive,Cygames
Baby Steps,NHK
Sekai Seifuku: Bouryaku no Zvezda,Aniplex
Sekai Seifuku: Bouryaku no Zvezda,Dentsu
Sekai Seifuku: Bouryaku no Zvezda,flying DOG
Sekai Seifuku: Bouryaku no Zvezda,Notes
Sekai Seifuku: Bouryaku no Zvezda,Atelier Musa
Sekai Seifuku: Bouryaku no Zvezda,Ichijinsha
Shinreigari,WOWOW
Shinreigari,Pony Canyon
Shinreigari,Showgate
Shinreigari,TYO
Shinreigari,Mag Garden
Hyakuren no Haou to Seiyaku no Valkyria,Sotsu
Hyakuren no Haou to Seiyaku no Valkyria,Crunchyroll SC Anime Fund
Yozakura Quartet,TBS
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Sotsu
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Avex Pictures
Yuuki Yuuna wa Yuusha de Aru,Dentsu
Yuuki Yuuna wa Yuusha de Aru,Mainichi Broadcasting System
Yuuki Yuuna wa Yuusha de Aru,Pony Canyon
Yuuki Yuuna wa Yuusha de Aru,Movic
Yuuki Yuuna wa Yuusha de Aru,KlockWorx
Gin no Saji 2nd Season,Aniplex
Gin no Saji 2nd Season,Dentsu
Gin no Saji 2nd Season,Fuji TV
Gin no Saji 2nd Season,Kyoraku Industrial Holdings
Watashi ni Tenshi ga Maiorita!,AT-X
Watashi ni Tenshi ga Maiorita!,flying DOG
Watashi ni Tenshi ga Maiorita!,Sony Music Communications
Watashi ni Tenshi ga Maiorita!,Kadokawa Media House
Watashi ni Tenshi ga Maiorita!,Ichijinsha
Watashi ni Tenshi ga Maiorita!,Kadokawa
Garo: Honoo no Kokuin,Tohokushinsha Film Corporation
Berserk 2nd Season,WOWOW
Berserk 2nd Season,Mainichi Broadcasting System
Berserk 2nd Season,Hakusensha
Berserk 2nd Season,Ultra Super Pictures
Berserk 2nd Season,LIDENFILMS
Berserk 2nd Season,NBCUniversal Entertainment Japan
Berserk 2nd Season,Lucent Pictures Entertainment
Berserk 2nd Season,Docomo Anime Store
Berserk 2nd Season,Koei Tecmo Games
Okusama ga Seitokaichou!+!,DAX Production
Okusama ga Seitokaichou!+!,Dream Creation
Okusama ga Seitokaichou!+!,Studio CHANT
ACCA: 13-ku Kansatsu-ka,Bandai Visual
ACCA: 13-ku Kansatsu-ka,Square Enix
ACCA: 13-ku Kansatsu-ka,Lantis
ACCA: 13-ku Kansatsu-ka,Nihon Ad Systems
ACCA: 13-ku Kansatsu-ka,Banpresto
ACCA: 13-ku Kansatsu-ka,Medicos Entertainment
ACCA: 13-ku Kansatsu-ka,BS11
ACCA: 13-ku Kansatsu-ka,Sony PCL
ACCA: 13-ku Kansatsu-ka,Contents Seed
Bounen no Xamdou,Aniplex
Bounen no Xamdou,Half H.P Studio
Senryuu Shoujo,Mainichi Broadcasting System
Senryuu Shoujo,Kodansha
Senryuu Shoujo,DMM pictures
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,Aniplex
Mo Dao Zu Shi,Tencent Penguin Pictures
Hakata Tonkotsu Ramens,Sotsu
Hakata Tonkotsu Ramens,AT-X
Hakata Tonkotsu Ramens,Warner Bros. Japan
Hakata Tonkotsu Ramens,KlockWorx
Hakata Tonkotsu Ramens,ASCII Media Works
Hakata Tonkotsu Ramens,Tokyo MX
Hakata Tonkotsu Ramens,BS11
Higurashi no Naku Koro ni Gou,Frontier Works
Higurashi no Naku Koro ni Gou,Infinite
Bishoujo Senshi Sailor Moon R,TV Asahi
Sakurada Reset,Media Factory
Sakurada Reset,flying DOG
Sakurada Reset,Asmik Ace
Sakurada Reset,Showgate
Sakurada Reset,Teichiku Entertainment
Sakurada Reset,Hakuhodo DY Music &amp; Pictures
Sakurada Reset,Kansai Telecasting
Sakurada Reset,BS11
Sakurada Reset,Sony PCL
Sakurada Reset,Radio Osaka
Sakurada Reset,A-Sketch
Sakurada Reset,Parco
Sakurada Reset,e-notion
Nogizaka Haruka no Himitsu,Geneon Universal Entertainment
Nogizaka Haruka no Himitsu,ASCII Media Works
Nogizaka Haruka no Himitsu,Studio Mausu
Mayoi Neko Overrun!,Geneon Universal Entertainment
Mayoi Neko Overrun!,Frontier Works
Mayoi Neko Overrun!,KlockWorx
Triage X,DAX Production
Triage X,Nippon Columbia
Gintama.: Porori-hen,TV Tokyo
Gintama.: Porori-hen,Aniplex
Gintama.: Porori-hen,Dentsu
Gintama.: Porori-hen,Shueisha
Senjou no Valkyria,Aniplex
Senjou no Valkyria,Sega
Senjou no Valkyria,Sakura Create
Medaka Box Abnormal,TV Tokyo
Medaka Box Abnormal,Lantis
Medaka Box Abnormal,Hakoniwa Academy Student Council
Slayers,J.C.Staff
Slayers,TV Tokyo
Slayers,SoftX
Slayers,TV Tokyo Music
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,TV Tokyo
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Geneon Universal Entertainment
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Shogakukan-Shueisha Productions
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Half H.P Studio
Lucky☆Star: Original na Visual to Animation,Kadokawa Shoten
Lucky☆Star: Original na Visual to Animation,Movic
Lucky☆Star: Original na Visual to Animation,KlockWorx
Gintama.: Shirogane no Tamashii-hen,TV Tokyo
Gintama.: Shirogane no Tamashii-hen,Aniplex
Gintama.: Shirogane no Tamashii-hen,Dentsu
Gintama.: Shirogane no Tamashii-hen,Shueisha
xxxHOLiC Kei,Hal Film Maker
xxxHOLiC Kei,TBS
Itsuka Tenma no Kuro Usagi,Frontier Works
Itsuka Tenma no Kuro Usagi,Kadokawa Shoten
Itsuka Tenma no Kuro Usagi,AT-X
Itsuka Tenma no Kuro Usagi,Kadokawa Pictures Japan
Itsuka Tenma no Kuro Usagi,KlockWorx
Samurai Flamenco,Aniplex
Samurai Flamenco,Dentsu
Samurai Flamenco,Movic
Samurai Flamenco,Fuji TV
Samurai Flamenco,Kyoraku Industrial Holdings
Samurai Flamenco,DeNA
Coquelicot-zaka kara,Nippon Television Network
Sora no Otoshimono: Tokeijikake no Angeloid,Kadokawa Shoten
Sora no Otoshimono: Tokeijikake no Angeloid,KlockWorx
Sora no Otoshimono: Tokeijikake no Angeloid,NTT Docomo
Arslan Senki (TV): Fuujin Ranbu,Mainichi Broadcasting System
Arslan Senki (TV): Fuujin Ranbu,Magic Capsule
Arslan Senki (TV): Fuujin Ranbu,Ultra Super Pictures
Arslan Senki (TV): Fuujin Ranbu,Graphinica
Arslan Senki (TV): Fuujin Ranbu,NBCUniversal Entertainment Japan
Shokugeki no Souma: Ni no Sara OVA,Warner Bros. Japan
Shokugeki no Souma: Ni no Sara OVA,Shueisha
Kami nomi zo Shiru Sekai: Tenri-hen,Geneon Universal Entertainment
Kami nomi zo Shiru Sekai: Tenri-hen,Shogakukan
Kamigami no Asobi,Frontier Works
Kamigami no Asobi,Broccoli
Kamigami no Asobi,Movic
Kamigami no Asobi,Showgate
Dragon Ball Z Movie 15: Fukkatsu no &quot;F&quot;,Fuji TV
Dragon Ball Z Movie 15: Fukkatsu no &quot;F&quot;,Bandai
Dragon Ball Z Movie 15: Fukkatsu no &quot;F&quot;,Evil Line Records
Shinrei Tantei Yakumo,NHK
Shinrei Tantei Yakumo,Sogo Vision
Shinrei Tantei Yakumo,NHK-BS2
Inu to Hasami wa Tsukaiyou,Avex Entertainment
Inu to Hasami wa Tsukaiyou,DLE
Inu to Hasami wa Tsukaiyou,Enterbrain
Inu to Hasami wa Tsukaiyou,Studio Mausu
Inu to Hasami wa Tsukaiyou,Xing
"Hachi-nan tte, Sore wa Nai deshou!",Satelight
"Hachi-nan tte, Sore wa Nai deshou!",Frontier Works
"Hachi-nan tte, Sore wa Nai deshou!",flying DOG
"Hachi-nan tte, Sore wa Nai deshou!",Kadokawa Media House
"Hachi-nan tte, Sore wa Nai deshou!",Exa International
"Hachi-nan tte, Sore wa Nai deshou!",Kadokawa
"Hachi-nan tte, Sore wa Nai deshou!",GREE
"Hachi-nan tte, Sore wa Nai deshou!",arma bianca
Kono Sekai no Katasumi ni,Genco
Kono Sekai no Katasumi ni,Animatsu Entertainment
Charlotte: Tsuyoimono-tachi,Aniplex
Juuni Kokuki,Sogo Vision
Tokyo Mew Mew,Kodansha
Tokyo Mew Mew,TV Aichi
Murenase! Seton Gakuen,Animax
Murenase! Seton Gakuen,Tokyo MX
Murenase! Seton Gakuen,Cygames
Murenase! Seton Gakuen,Legs
Murenase! Seton Gakuen,Happinet
Strawberry Panic,Lantis
Strawberry Panic,Dwango
Hitori no Shita: The Outcast,Haoliners Animation League
Hitori no Shita: The Outcast,Tencent Animation &amp; Comics
Hitori no Shita: The Outcast,Emon
Dies Irae,Genco
Dies Irae,DMM pictures
Dies Irae,Greenwood
Dies Irae,My Theater D.D.
Dies Irae,Brave Hearts
Dies Irae,Crunchyroll SC Anime Fund
Pokemon Movie 04: Celebi Toki wo Koeta Deai,Studio Jack
Hunter x Hunter Movie 1: Phantom Rouge,VAP
Hunter x Hunter Movie 1: Phantom Rouge,Nippon Television Network
Hunter x Hunter Movie 1: Phantom Rouge,TOHO animation
Hunter x Hunter Movie 1: Phantom Rouge,Shueisha
Hunter x Hunter Movie 1: Phantom Rouge,Hiroshima Television
Kyoukai no Kanata Movie 1: I&#039;ll Be Here - Kako-hen,Shochiku
Bishoujo Senshi Sailor Moon Crystal,Starchild Records
Bishoujo Senshi Sailor Moon Crystal,Kodansha
Zoku Sayonara Zetsubou Sensei,Starchild Records
Gintama Movie 1: Shinyaku Benizakura-hen,TV Tokyo
Gintama Movie 1: Shinyaku Benizakura-hen,Aniplex
Gintama Movie 1: Shinyaku Benizakura-hen,Dentsu
Gintama Movie 1: Shinyaku Benizakura-hen,Bandai
Gintama Movie 1: Shinyaku Benizakura-hen,Warner Bros. Japan
Gintama Movie 1: Shinyaku Benizakura-hen,Shueisha
Kaiba,VAP
Kaiba,WOWOW
"High School DxD New: Oppai, Tsutsumimasu!",Genco
Trigun: Badlands Rumble,flying DOG
Trigun: Badlands Rumble,Sunny Side Up
Trigun: Badlands Rumble,Studio Jack
Trigun: Badlands Rumble,Shounen Gahousha
Sakigake!! Cromartie Koukou,TV Tokyo Music
Akiba&#039;s Trip The Animation,AT-X
Akiba&#039;s Trip The Animation,DLE
Akiba&#039;s Trip The Animation,Studio Mausu
Akiba&#039;s Trip The Animation,BS Fuji
Akiba&#039;s Trip The Animation,Tokyo MX
Akiba&#039;s Trip The Animation,Evil Line Records
Akiba&#039;s Trip The Animation,Docomo Anime Store
Akiba&#039;s Trip The Animation,bilibili
Akiba&#039;s Trip The Animation,DMM.com
Akiba&#039;s Trip The Animation,Sotsu Music Publishing
Akiba&#039;s Trip The Animation,Exa International
Sunabouzu,GDH
Sunabouzu,Pony Canyon
Sunabouzu,CBC
Blade &amp; Soul,TBS
Initial D Fourth Stage,OB Planning
Initial D Fourth Stage,Studio Jack
Hikaru no Go,TV Tokyo
Hikaru no Go,Dentsu
Hikaru no Go,Dream Force
Dagashi Kashi 2,Pony Canyon
Dagashi Kashi 2,TBS
Dagashi Kashi 2,Shogakukan
Dagashi Kashi 2,Lawson
Dagashi Kashi 2,Pony Canyon Enterprise
Nodame Cantabile: Finale,Fuji TV
Nodame Cantabile: Finale,Sony Music Entertainment
Tales of the Abyss,Bandai Visual
Tales of the Abyss,Animax
Tales of the Abyss,Bandai Namco Games
Tales of the Abyss,Atelier Musa
Zetman,TV Asahi
Zetman,Asatsu DK
Zetman,YTV
Zetman,Toho
Zetman,Sakura Create
Akikan!,Half H.P Studio
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Bandai Visual
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Bandai
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Bandai Namco Entertainment
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Hakuhodo DY Media Partners
Samurai 7,GDH
Samurai 7,Sotsu Music Publishing
Keppeki Danshi! Aoyama-kun,Sotsu
Keppeki Danshi! Aoyama-kun,TMS Entertainment
Keppeki Danshi! Aoyama-kun,Pony Canyon
Keppeki Danshi! Aoyama-kun,KlockWorx
Keppeki Danshi! Aoyama-kun,Tokyo MX
Keppeki Danshi! Aoyama-kun,JR East Marketing &amp; Communications
Netsuzou TRap,DMM.com
Netsuzou TRap,Ichijinsha
Netsuzou TRap,Cloud22
Majo no Tabitabi,Lantis
Majo no Tabitabi,Movic
Majo no Tabitabi,AT-X
Majo no Tabitabi,Kadokawa Media House
Majo no Tabitabi,Kadokawa
Majo no Tabitabi,SB Creative
Bishoujo Senshi Sailor Moon S,TV Asahi
Baka to Test to Shoukanjuu: Matsuri,Lantis
Baka to Test to Shoukanjuu: Matsuri,Media Factory
Baka to Test to Shoukanjuu: Matsuri,Enterbrain
Baka to Test to Shoukanjuu: Matsuri,Cospa
Baka to Test to Shoukanjuu: Matsuri,Kadokawa Contents Gate
Baka to Test to Shoukanjuu: Matsuri,T.O Entertainment
Baka to Test to Shoukanjuu: Matsuri,Hakuhodo DY Media Partners
Sin: Nanatsu no Taizai,Genco
Sin: Nanatsu no Taizai,Lantis
Sin: Nanatsu no Taizai,AT-X
Sin: Nanatsu no Taizai,Hobby Japan
Sin: Nanatsu no Taizai,NBCUniversal Entertainment Japan
Sin: Nanatsu no Taizai,Kanon Sound
Sin: Nanatsu no Taizai,Orchid Seed
Senran Kagura,Genco
Senran Kagura,Lantis
Senran Kagura,Media Factory
Senran Kagura,AT-X
Senran Kagura,Marvelous AQL
Senran Kagura,Showgate
Comic Girls,Sotsu
Comic Girls,Houbunsha
Comic Girls,Kansai Telecasting
Comic Girls,BS11
Comic Girls,My Theater D.D.
Kuromukuro,Sotsu
Kuromukuro,Pony Canyon
Kuromukuro,AT-X
Kuromukuro,KlockWorx
Kuromukuro,Tokyo MX
Kuromukuro,Medicos Entertainment
Kuromukuro,Infinite
Denki-gai no Honya-san,Sotsu
Denki-gai no Honya-san,Pony Canyon
Denki-gai no Honya-san,DAX Production
Denki-gai no Honya-san,Comic Umenohone
Denki-gai no Honya-san,Mobcast
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Studio Take Off
Nagato Yuki-chan no Shoushitsu,Lantis
Nagato Yuki-chan no Shoushitsu,Kadokawa Shoten
Nagato Yuki-chan no Shoushitsu,AT-X
Nagato Yuki-chan no Shoushitsu,KlockWorx
Nagato Yuki-chan no Shoushitsu,chara-ani.com
Nagato Yuki-chan no Shoushitsu,Tokyo MX
Nagato Yuki-chan no Shoushitsu,Sankyo Planning
Nagato Yuki-chan no Shoushitsu,Docomo Anime Store
Nagato Yuki-chan no Shoushitsu,Kadokawa Media House
Green Green,Pony Canyon
Green Green,Memory-Tech
Green Green,Studio Jack
Kurokami The Animation,Bandai Visual
Kurokami The Animation,TV Asahi
Kurokami The Animation,Square Enix
Nodame Cantabile: Paris-hen,Fuji TV
Nodame Cantabile: Paris-hen,Asmik Ace
Nodame Cantabile: Paris-hen,Sony Music Entertainment
Ao no Exorcist: Kuro no Iede,Aniplex
Coppelion,Starchild Records
Days (TV),Dentsu
Days (TV),Animax
Days (TV),Mainichi Broadcasting System
Days (TV),Pony Canyon
Days (TV),Kodansha
Days (TV),Tokyo MX
Days (TV),Lawson HMV Entertainment
Days (TV),BS11
Days (TV),Animatic
Days (TV),Techno Sound
Gakkou no Kaidan,Aniplex
Gakkou no Kaidan,Fuji TV
ChäoS;Child,Kadokawa Shoten
ChäoS;Child,AT-X
ChäoS;Child,MAGES.
ChäoS;Child,Glovision
ChäoS;Child,5pb.
"Ima, Soko ni Iru Boku",Victor Entertainment
"Ima, Soko ni Iru Boku",Pioneer LDC
"Ima, Soko ni Iru Boku",Rakuonsha
Eve no Jikan (Movie),Directions
Eve no Jikan (Movie),Code
Initial D Third Stage,OB Planning
Walkure Romanze,Frontier Works
Walkure Romanze,Lantis
Walkure Romanze,Pony Canyon
Walkure Romanze,AT-X
Walkure Romanze,KlockWorx
Seitokai Yakuindomo OVA,Starchild Records
Boku wa Tomodachi ga Sukunai Episode 0,Bushiroad
Boku wa Tomodachi ga Sukunai Episode 0,Good Smile Company
Tsubasa Chronicle 2nd Season,NHK
Shikabane Hime: Aka,Square Enix
Shikabane Hime: Aka,Starchild Records
Konohana Kitan,Genco
Konohana Kitan,Lantis
Konohana Kitan,AT-X
Konohana Kitan,GAGA
Konohana Kitan,Memory-Tech
Konohana Kitan,Studio Mausu
Konohana Kitan,DeNA
Konohana Kitan,Kadokawa
Konohana Kitan,Melonbooks
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",Aniplex
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",Yomiuri Telecasting
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",Capcom
"Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!",Trinity Sound
GetBackers,TBS
GetBackers,Kodansha
GetBackers,Rondo Robe
GetBackers,Rakuonsha
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,Aniplex
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,Notes
Urara Meirochou,TBS
Urara Meirochou,Magic Capsule
Urara Meirochou,Houbunsha
Urara Meirochou,NBCUniversal Entertainment Japan
Urara Meirochou,Nichion
Druaga no Tou: The Aegis of Uruk,Dentsu
Druaga no Tou: The Aegis of Uruk,Sotsu Music Publishing
Gekkan Shoujo Nozaki-kun Specials,Media Factory
Aggressive Retsuko (ONA),Sanrio
Aggressive Retsuko (ONA),Netflix
Ged Senki,Toho
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Lantis
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Kadokawa Shoten
Fate/kaleid liner Prisma☆Illya 2wei Herz!,AT-X
Fate/kaleid liner Prisma☆Illya 2wei Herz!,DAX Production
Fate/kaleid liner Prisma☆Illya 2wei Herz!,KlockWorx
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Tokyo MX
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Kadokawa Media House
Yowamushi Pedal: Grande Road,TOHO animation
Sounan Desu ka?,Nihon Ad Systems
Sounan Desu ka?,Kodansha
Sounan Desu ka?,KlockWorx
Sounan Desu ka?,flying DOG
Sounan Desu ka?,Avex Pictures
Sounan Desu ka?,Docomo Anime Store
Sounan Desu ka?,GYAO!
Sounan Desu ka?,BS NTV
Sounan Desu ka?,Marui Group
Tegamibachi,TV Tokyo
Fortune Arterial: Akai Yakusoku,NTT Docomo
Fortune Arterial: Akai Yakusoku,AMG MUSIC
Hoozuki no Reitetsu,Starchild Records
Hoozuki no Reitetsu,Mainichi Broadcasting System
Hoozuki no Reitetsu,Kodansha
Hourou Musuko,Aniplex
Hourou Musuko,AIC
Hourou Musuko,Dentsu
Hourou Musuko,Fuji TV
Hourou Musuko,Magic Capsule
Hourou Musuko,Enterbrain
Hourou Musuko,Fujipacific Music
Daitoshokan no Hitsujikai,Felix Film
Daitoshokan no Hitsujikai,Brave Hearts
Mushishi: Hihamukage,Aniplex
Mushishi: Hihamukage,Kodansha
Mushishi: Hihamukage,Delfi Sound
Infinite Dendrogram,AT-X
Infinite Dendrogram,Nippon Columbia
Infinite Dendrogram,KlockWorx
Infinite Dendrogram,Hobby Japan
Infinite Dendrogram,Studio Mausu
Infinite Dendrogram,Hakuhodo DY Music &amp; Pictures
Infinite Dendrogram,BS11
Infinite Dendrogram,Anima&amp;Co.
Trinity Seven: Nanatsu no Taizai to Nana Madoushi,Avex Pictures
Mai-HiME,Bandai Visual
Mai-HiME,TV Tokyo Music
Mai-HiME,Studio Zain
Sidonia no Kishi: Daikyuu Wakusei Seneki,Starchild Records
Sidonia no Kishi: Daikyuu Wakusei Seneki,Mainichi Broadcasting System
Sidonia no Kishi: Daikyuu Wakusei Seneki,Kodansha
Sidonia no Kishi: Daikyuu Wakusei Seneki,Studio Mausu
Donten ni Warau,VAP
Donten ni Warau,Nippon Television Network
Toaru Majutsu no Index Movie: Endymion no Kiseki,Geneon Universal Entertainment
Toaru Majutsu no Index Movie: Endymion no Kiseki,Square Enix
Toaru Majutsu no Index Movie: Endymion no Kiseki,AT-X
Toaru Majutsu no Index Movie: Endymion no Kiseki,Warner Bros. Japan
Toaru Majutsu no Index Movie: Endymion no Kiseki,ASCII Media Works
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV Tokyo
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Aniplex
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Dentsu
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Shueisha
Ranpo Kitan: Game of Laplace,Aniplex
Ranpo Kitan: Game of Laplace,Dentsu
Ranpo Kitan: Game of Laplace,Fuji TV
Ranpo Kitan: Game of Laplace,Fujipacific Music
Ranpo Kitan: Game of Laplace,Houbunsha
Senyuu.,TV Tokyo
Senyuu.,Bandai Visual
Senyuu.,Lantis
Senyuu.,Barnum Studio
Senyuu.,Dwango
Senyuu.,Good Smile Company
Ushio to Tora (TV) 2nd Season,Sotsu
Ushio to Tora (TV) 2nd Season,Showgate
Ushio to Tora (TV) 2nd Season,Tokuma Japan Communications
Ushio to Tora (TV) 2nd Season,Daiichi Shokai
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),Aniplex
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),Houbunsha
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),f4samurai
Valkyrie Drive: Mermaid,Genco
FLCL Progressive,Toho Visual Entertainment
Island,Crunchyroll SC Anime Fund
Magi: Sinbad no Bouken,Aniplex
Magi: Sinbad no Bouken,Shogakukan
Kimi ga Aruji de Shitsuji ga Ore de,Lantis
Kimi ga Aruji de Shitsuji ga Ore de,Studio Jack
Kimi ga Aruji de Shitsuji ga Ore de,Good Smile Company
Fate/stay night Movie: Heaven&#039;s Feel - III. Spring Song,Aniplex
Fate/stay night Movie: Heaven&#039;s Feel - III. Spring Song,Notes
Fate/stay night Movie: Heaven&#039;s Feel - III. Spring Song,Kadokawa
RahXephon,Asatsu DK
RahXephon,Fuji TV
Babylon,Fujipacific Music
Babylon,Twin Engine
Otome Youkai Zakuro,Aniplex
Suzuka,Marvelous
Suzuka,Starchild Records
Suzuka,Studio Jack
Nekopara,Movic
Nekopara,AT-X
Nekopara,KlockWorx
Nekopara,Good Smile Company
Nekopara,Avex Pictures
Nekopara,Avex Technologies
Rec,TBS
Classroom☆Crisis,Aniplex
Classroom☆Crisis,Mainichi Broadcasting System
Gravitation,Aniplex
Love Live! The School Idol Movie,Bandai Visual
Love Live! The School Idol Movie,Lantis
Love Live! The School Idol Movie,ASCII Media Works
Love Live! The School Idol Movie,Bushiroad
Love Live! The School Idol Movie,Graphinica
Love Live! The School Idol Movie,ILCA
Hayate no Gotoku!!,TV Tokyo
Hayate no Gotoku!!,Geneon Universal Entertainment
Hayate no Gotoku!!,Shogakukan-Shueisha Productions
Hayate no Gotoku!!,Shogakukan Music &amp; Digital Entertainment
Cross Game,TV Tokyo
Cross Game,Shogakukan-Shueisha Productions
Fukigen na Mononokean,Square Enix
Fukigen na Mononokean,AT-X
Fukigen na Mononokean,Age Global Networks
Fukigen na Mononokean,Docomo Anime Store
Fukigen na Mononokean,Yomiuri TV Enterprise
Fukigen na Mononokean,Tokuma Japan Communications
Fukigen na Mononokean,Kanon Sound
Fukigen na Mononokean,RAY
Juubee Ninpuuchou,Movic
Toriko,Yomiko Advertising
Toriko,Fuji TV
Toriko,Shueisha
Digimon Adventure tri. 1: Saikai,Bandai
Digimon Adventure tri. 1: Saikai,Ai Addiction
Oushitsu Kyoushi Heine,TV Tokyo
Oushitsu Kyoushi Heine,Square Enix
Oushitsu Kyoushi Heine,Sotsu
Oushitsu Kyoushi Heine,TV Osaka
Oushitsu Kyoushi Heine,AT-X
Oushitsu Kyoushi Heine,DAX Production
Oushitsu Kyoushi Heine,TV Tokyo Music
Oushitsu Kyoushi Heine,Avex Pictures
Oushitsu Kyoushi Heine,BS Japan
Oushitsu Kyoushi Heine,Dai Nippon Printing
