title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Black★Rock Shooter (OVA),OVA,1,Finished Airing,,Other,52,PG-13 - Teens 13 or older,7.13,98860
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Movie,1,Finished Airing,,Manga,97,PG-13 - Teens 13 or older,6.9,95206
Myself; Yourself,TV,13,Finished Airing,Fall 2007,Visual novel,25,PG-13 - Teens 13 or older,7.23,82692
Gatchaman Crowds,TV,12,Finished Airing,Summer 2013,Original,23,PG-13 - Teens 13 or older,7.34,58982
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,,Manga,110,PG-13 - Teens 13 or older,8.97,88961
Soul Eater NOT!,TV,12,Finished Airing,Spring 2014,Manga,23,PG-13 - Teens 13 or older,6.01,75094
Rail Wars!,TV,12,Finished Airing,Summer 2014,Light novel,24,R+ - Mild Nudity,6.42,68947
Dog Days,TV,13,Finished Airing,Spring 2011,Original,24,PG-13 - Teens 13 or older,6.99,70773
Toaru Majutsu no Index III,TV,26,Finished Airing,Fall 2018,Light novel,23,PG-13 - Teens 13 or older,6.75,51710
Kara no Kyoukai 7: Satsujin Kousatsu (Go),Movie,1,Finished Airing,,Light novel,121,R - 17+ (violence & profanity),8.44,85681
Karakai Jouzu no Takagi-san 2,TV,12,Finished Airing,Summer 2019,Manga,23,PG-13 - Teens 13 or older,8.19,74703
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,Finished Airing,,Light novel,23,PG-13 - Teens 13 or older,8.11,91704
Poputepipikku,TV,12,Finished Airing,Winter 2018,4-koma manga,12,PG-13 - Teens 13 or older,7.28,68173
Papa no Iukoto wo Kikinasai!,TV,12,Finished Airing,Winter 2012,Light novel,23,PG-13 - Teens 13 or older,7.35,83346
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,ONA,4,Finished Airing,,Light novel,28,PG-13 - Teens 13 or older,7.44,100690
Tejina-senpai,TV,12,Finished Airing,Summer 2019,Manga,13,PG-13 - Teens 13 or older,6.5,66828
Violet Evergarden: Kitto &quot;Ai&quot; wo Shiru Hi ga Kuru no Darou,Special,1,Finished Airing,,Light novel,34,PG-13 - Teens 13 or older,8.32,84869
