title,licensor
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Funimation
Hellsing Ultimate,Funimation
Hellsing Ultimate,Geneon Entertainment USA
Tensei shitara Slime Datta Ken,Funimation
Gekkan Shoujo Nozaki-kun,Sentai Filmworks
Zero no Tsukaima,Funimation
Zero no Tsukaima,Sentai Filmworks
Zero no Tsukaima,Geneon Entertainment USA
Goblin Slayer,Funimation
Golden Time,Sentai Filmworks
High School DxD New,Funimation
Ookami to Koushinryou,Funimation
Ookami to Koushinryou,Kadokawa Pictures USA
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Sentai Filmworks
Higurashi no Naku Koro ni,Sentai Filmworks
Higurashi no Naku Koro ni,Geneon Entertainment USA
Boku wa Tomodachi ga Sukunai,Funimation
Kimi ni Todoke,"NIS America, Inc."
Nichijou,Funimation
Nichijou,Bandai Entertainment
Tokyo Ghoul:re,Funimation
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Viz Media
Toaru Majutsu no Index,Funimation
Magi: The Kingdom of Magic,Aniplex of America
Shinsekai yori,Sentai Filmworks
Toki wo Kakeru Shoujo,Funimation
Toki wo Kakeru Shoujo,Bandai Entertainment
Toki wo Kakeru Shoujo,Kadokawa Pictures USA
Kokoro Connect,Sentai Filmworks
Overlord II,Funimation
Plastic Memories,Aniplex of America
Shokugeki no Souma: San no Sara,Sentai Filmworks
Rakudai Kishi no Cavalry,Sentai Filmworks
Kekkai Sensen,Funimation
Mushishi,Funimation
Mahoutsukai no Yome,Funimation
Accel World,Viz Media
Enen no Shouboutai,Funimation
Ookami Kodomo no Ame to Yuki,Funimation
FLCL,Funimation
FLCL,Synch-Point
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Sentai Filmworks
Sword Art Online: Alicization,Aniplex of America
K,Viz Media
Trinity Seven,Sentai Filmworks
Koutetsujou no Kabaneri,Funimation
Koutetsujou no Kabaneri,Crunchyroll
Danshi Koukousei no Nichijou,"NIS America, Inc."
Monster,Viz Media
No Game No Life: Zero,Sentai Filmworks
Fate/stay night: Unlimited Blade Works 2nd Season,Aniplex of America
Youjo Senki,Funimation
Youjo Senki,Crunchyroll
