title,genre
Tengen Toppa Gurren Lagann,Sci-Fi
Soul Eater,Action
Soul Eater,Fantasy
Soul Eater,Comedy
Soul Eater,Supernatural
Soul Eater,Shounen
Cowboy Bebop,Action
Cowboy Bebop,Adventure
Cowboy Bebop,Comedy
Cowboy Bebop,Drama
Cowboy Bebop,Sci-Fi
Cowboy Bebop,Space
Sen to Chihiro no Kamikakushi,Adventure
Sen to Chihiro no Kamikakushi,Supernatural
Sen to Chihiro no Kamikakushi,Drama
Psycho-Pass,Action
Psycho-Pass,Sci-Fi
Psycho-Pass,Police
Psycho-Pass,Psychological
Kiseijuu: Sei no Kakuritsu,Action
Kiseijuu: Sei no Kakuritsu,Sci-Fi
Kiseijuu: Sei no Kakuritsu,Horror
Kiseijuu: Sei no Kakuritsu,Psychological
Kiseijuu: Sei no Kakuritsu,Drama
Kiseijuu: Sei no Kakuritsu,Seinen
Elfen Lied,Action
Elfen Lied,Horror
Elfen Lied,Psychological
Elfen Lied,Supernatural
Elfen Lied,Drama
Elfen Lied,Romance
Elfen Lied,Seinen
Another,Mystery
Another,Horror
Another,Supernatural
Another,Thriller
Another,School
Kimetsu no Yaiba,Action
Kimetsu no Yaiba,Demons
Kimetsu no Yaiba,Historical
Kimetsu no Yaiba,Shounen
Kimetsu no Yaiba,Supernatural
Tokyo Ghoul √A,Action
Tokyo Ghoul √A,Mystery
Tokyo Ghoul √A,Horror
Tokyo Ghoul √A,Psychological
Tokyo Ghoul √A,Supernatural
Tokyo Ghoul √A,Drama
Tokyo Ghoul √A,Seinen
Ansatsu Kyoushitsu,Action
Ansatsu Kyoushitsu,Comedy
Ansatsu Kyoushitsu,School
Ansatsu Kyoushitsu,Shounen
Mob Psycho 100,Action
Mob Psycho 100,Slice of Life
Mob Psycho 100,Comedy
Mob Psycho 100,Supernatural
Death Parade,Game
Death Parade,Mystery
Death Parade,Psychological
Death Parade,Drama
Death Parade,Thriller
Fullmetal Alchemist,Action
Fullmetal Alchemist,Adventure
Fullmetal Alchemist,Comedy
Fullmetal Alchemist,Drama
Fullmetal Alchemist,Fantasy
Fullmetal Alchemist,Magic
Fullmetal Alchemist,Military
Fullmetal Alchemist,Shounen
Shokugeki no Souma,Ecchi
Shokugeki no Souma,School
Shokugeki no Souma,Shounen
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Slice of Life
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Supernatural
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama
Highschool of the Dead,Action
Highschool of the Dead,Horror
Highschool of the Dead,Supernatural
Highschool of the Dead,Ecchi
Highschool of the Dead,Shounen
Durarara!!,Action
Durarara!!,Mystery
Durarara!!,Supernatural
Neon Genesis Evangelion,Action
Neon Genesis Evangelion,Sci-Fi
Neon Genesis Evangelion,Dementia
Neon Genesis Evangelion,Psychological
Neon Genesis Evangelion,Drama
Neon Genesis Evangelion,Mecha
Clannad,Comedy
Clannad,Drama
Clannad,Romance
Clannad,School
Clannad,Slice of Life
Clannad,Supernatural
Fate/Zero,Action
Fate/Zero,Supernatural
Fate/Zero,Magic
Fate/Zero,Fantasy
Haikyuu!!,Comedy
Haikyuu!!,Sports
Haikyuu!!,Drama
Haikyuu!!,School
Haikyuu!!,Shounen
Bakemonogatari,Romance
Bakemonogatari,Supernatural
Bakemonogatari,Mystery
Bakemonogatari,Vampire
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Action
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Adventure
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Comedy
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Romance
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Fantasy
Hataraku Maou-sama!,Comedy
Hataraku Maou-sama!,Demons
Hataraku Maou-sama!,Supernatural
Hataraku Maou-sama!,Romance
Hataraku Maou-sama!,Fantasy
Shingeki no Kyojin Season 3,Action
Shingeki no Kyojin Season 3,Military
Shingeki no Kyojin Season 3,Mystery
Shingeki no Kyojin Season 3,Super Power
Shingeki no Kyojin Season 3,Drama
Shingeki no Kyojin Season 3,Fantasy
Shingeki no Kyojin Season 3,Shounen
Noragami Aragoto,Action
Noragami Aragoto,Adventure
Noragami Aragoto,Comedy
Noragami Aragoto,Supernatural
Noragami Aragoto,Shounen
Overlord,Action
Overlord,Adventure
Overlord,Fantasy
Overlord,Game
Overlord,Magic
Overlord,Supernatural
Charlotte,Drama
Charlotte,School
Charlotte,Super Power
Mahou Shoujo Madoka★Magica,Psychological
Mahou Shoujo Madoka★Magica,Drama
Mahou Shoujo Madoka★Magica,Magic
Mahou Shoujo Madoka★Magica,Thriller
High School DxD,Comedy
High School DxD,Demons
High School DxD,Ecchi
High School DxD,Harem
High School DxD,Romance
High School DxD,School
Guilty Crown,Action
Guilty Crown,Sci-Fi
Guilty Crown,Super Power
Guilty Crown,Drama
Guilty Crown,Romance
Guilty Crown,Mecha
Violet Evergarden,Slice of Life
Violet Evergarden,Drama
Violet Evergarden,Fantasy
Deadman Wonderland,Action
Deadman Wonderland,Horror
Deadman Wonderland,Sci-Fi
Deadman Wonderland,Shounen
Deadman Wonderland,Supernatural
Kono Subarashii Sekai ni Shukufuku wo! 2,Adventure
Kono Subarashii Sekai ni Shukufuku wo! 2,Comedy
Kono Subarashii Sekai ni Shukufuku wo! 2,Parody
Kono Subarashii Sekai ni Shukufuku wo! 2,Supernatural
Kono Subarashii Sekai ni Shukufuku wo! 2,Magic
Kono Subarashii Sekai ni Shukufuku wo! 2,Fantasy
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Slice of Life
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Comedy
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Drama
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Romance
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,School
Chuunibyou demo Koi ga Shitai!,Slice of Life
Chuunibyou demo Koi ga Shitai!,Comedy
Chuunibyou demo Koi ga Shitai!,Drama
Chuunibyou demo Koi ga Shitai!,Romance
Chuunibyou demo Koi ga Shitai!,School
Yakusoku no Neverland,Sci-Fi
Yakusoku no Neverland,Mystery
Yakusoku no Neverland,Horror
Yakusoku no Neverland,Psychological
Yakusoku no Neverland,Thriller
Yakusoku no Neverland,Shounen
One Punch Man 2nd Season,Action
One Punch Man 2nd Season,Sci-Fi
One Punch Man 2nd Season,Comedy
One Punch Man 2nd Season,Parody
One Punch Man 2nd Season,Super Power
One Punch Man 2nd Season,Supernatural
Clannad: After Story,Slice of Life
Clannad: After Story,Comedy
Clannad: After Story,Supernatural
Clannad: After Story,Drama
Clannad: After Story,Romance
Hyouka,Mystery
Hyouka,School
Hyouka,Slice of Life
Sakura-sou no Pet na Kanojo,Slice of Life
Sakura-sou no Pet na Kanojo,Comedy
Sakura-sou no Pet na Kanojo,Drama
Sakura-sou no Pet na Kanojo,Romance
Sakura-sou no Pet na Kanojo,School
JoJo no Kimyou na Bouken (TV),Action
JoJo no Kimyou na Bouken (TV),Adventure
JoJo no Kimyou na Bouken (TV),Supernatural
JoJo no Kimyou na Bouken (TV),Vampire
JoJo no Kimyou na Bouken (TV),Shounen
Darling in the FranXX,Action
Darling in the FranXX,Drama
Darling in the FranXX,Mecha
Darling in the FranXX,Romance
